id,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,odd_time_signature,valence,cluster
4KROoGIaPaR1pBHPnR3bwC,0.642,124001.0,0.427,0.0904,0.124,-8.471,1,0.0402,82.344,0,0.404,0
5eTaQYBE1yrActixMAeLcZ,0.636,186496.0,0.869,0.0446,0.0808,-5.289,1,0.0412,143.011,0,0.306,0
60eA3QITW5G2D7Woc11uKc,0.67,204325.0,0.589,0.0,0.0942,-5.693,1,0.0873,146.978,0,0.628,0
2cGxRwrMyEAp8dEbuZaVv6,0.775,337560.0,0.585,0.619,0.077,-9.516,0,0.0271,109.942,0,0.518,0
3UmaczJpikHgJFyBTAJVoz,0.78,404107.0,0.768,2.34e-06,0.518,-4.325,0,0.238,80.063,0,0.507,0
63y6xWR4gXz7bnUGOk8iI6,0.623,244453.0,0.734,1.75e-06,0.145,-5.948,1,0.107,107.853,0,0.37,0
1dZxI6OuzwJ283y3gOU1Kq,0.399,164067.0,0.212,0.000434,0.116,-16.03,1,0.0747,137.76,0,0.149,0
6JFLZH9vCzgqnUToBdiHQb,0.74,140747.0,0.574,0.0,0.262,-6.938,1,0.245,149.762,0,0.33,0
1zi7xx7UVEFkmKfv06H8x0,0.792,173987.0,0.625,0.0018,0.329,-5.609,1,0.0536,103.967,0,0.37,0
5JqCmd41S3PZ2AS6GuHqcR,0.939,207773.0,0.65,0.0,0.0429,-8.282,0,0.0615,134.727,0,0.968,0
5HpURubJUz2gysQiAkle9I,0.591,177200.0,0.449,0.0571,0.255,-15.547,0,0.0754,134.864,0,0.976,0
4xkOaSrkexMciUUogZKVTS,0.548,297787.0,0.847,0.0,0.0816,-3.237,1,0.186,171.447,0,0.1,0
3DK6m7It6Pw857FcQftMds,0.374,547733.0,0.568,0.00219,0.513,-3.825,0,0.109,84.733,0,0.111,0
5lJx5eiSahFfsqkMJVlkDN,0.765,273360.0,0.666,0.0,0.116,-5.384,1,0.172,87.002,0,0.757,0
22PMfvdz35fFKYnJyMn077,0.621,230192.0,0.82,0.0,0.104,-4.865,1,0.0367,144.905,0,0.452,0
4RVwu0g32PAqgUiJoXsdF8,0.332,298899.0,0.225,0.00349,0.128,-8.697,1,0.0348,81.055,1,0.297,0
4d0d2llNcQIHmaCgYTrODQ,0.594,253293.0,0.682,4.56e-05,0.0919,-8.858,1,0.0487,82.487,0,0.76,0
7tkka2fYf1erIg8wy8r9Lt,0.378,194040.0,0.53,7.46e-06,0.0549,-13.688,1,0.036,158.997,1,0.66,0
5TRPicyLGbAF2LGBFbHGvO,0.639,237507.0,0.628,0.0,0.386,-7.578,0,0.0399,90.482,0,0.43,0
3I1vEQhGwRK7URrTq4BqNl,0.572,224813.0,0.668,0.0379,0.223,-9.382,0,0.0361,109.511,0,0.56,0
6H3uEl6cwtz6w8w1vTbAxE,0.528,292525.0,0.732,0.868,0.109,-9.492,1,0.0504,199.978,0,0.0324,0
2XCF9zbOTpv4VfuQxahluA,0.654,223267.0,0.514,0.0,0.107,-12.432,1,0.0413,128.525,0,0.712,0
7jWbXvrgdbkajU8L28ahn5,0.67,182653.0,0.351,0.0176,0.115,-16.842,1,0.0463,101.384,0,0.45,0
05j3rb3W3Bil5QAxn4Q2hY,0.851,208000.0,0.248,1.69e-05,0.0827,-16.54,0,0.337,135.441,0,0.92,0
