,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,artist_name,track_name,album_name,release_date,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,track_href,type,uri,valence,odd_time_signature,predicted_cluster,proba_class_0,proba_class_1,proba_class_2,proba_class_3,proba_class_4
2,,,,,,,,,,,,,,,Genesis,Firth Of Fifth - Remastered 2008,Selling England By The Pound,1973-10-12,0.0214,0.247,0.6643308968373451,0.594,5OBptQtIlGOG94la7qil6c,0.0999,4,0.196,0.8335064927910916,0,0.0408,-1.4455778751495632,https://api.spotify.com/v1/tracks/5OBptQtIlGOG94la7qil6c,audio_features,spotify:track:5OBptQtIlGOG94la7qil6c,0.303,0,3,0.15,0.0,0.05,0.8,0.0
4,,,,,,,,,,,,,,,Steely Dan,Rikki Don't Lose That Number,Pretzel Logic,1974-02-20,0.824,0.641,-0.3160181055598594,0.408,0xLrMI4R2xTwRHWV3UQCAZ,0.0022,2,0.0958,-0.06389832567843903,1,0.0409,0.02849916954303602,https://api.spotify.com/v1/tracks/0xLrMI4R2xTwRHWV3UQCAZ,audio_features,spotify:track:0xLrMI4R2xTwRHWV3UQCAZ,0.58,0,2,0.1,0.0,0.85,0.05,0.0
8,,,,,,,,,,,,,,,Aerosmith,Sweet Emotion,Toys In The Attic,1975-04-08,0.00298,0.379,-0.31230965636664054,0.76,73TxYZd0lBCVRrHawrAglA,0.0296,9,0.104,0.6201148509159001,1,0.0378,-0.5751069042543958,https://api.spotify.com/v1/tracks/73TxYZd0lBCVRrHawrAglA,audio_features,spotify:track:73TxYZd0lBCVRrHawrAglA,0.491,0,3,0.35,0.0,0.05,0.6,0.0
9,,,,,,,,,,,,,,,Rainbow,Stargazer,Rising,1976-01-01,0.00374,0.166,0.44130437267773936,0.948,1aDNYyeU62BuQsBAY18i48,0.0131,11,0.769,1.0393927531774676,0,0.0631,2.1964746554252352,https://api.spotify.com/v1/tracks/1aDNYyeU62BuQsBAY18i48,audio_features,spotify:track:1aDNYyeU62BuQsBAY18i48,0.476,0,2,0.2,0.0,0.8,0.0,0.0
12,,,,,,,,,,,,,,,King Crimson,Book of Saturday,The Condensed 21st Century Guide To King Crimson (1969 - 2003),2006-10-16,0.628,0.42,-0.6519185224577256,0.0832,1IipkdkrBeEu4ikMirm7jX,1.89e-06,9,0.102,-1.0812186711170022,0,0.0456,-0.3175801481807038,https://api.spotify.com/v1/tracks/1IipkdkrBeEu4ikMirm7jX,audio_features,spotify:track:1IipkdkrBeEu4ikMirm7jX,0.199,0,1,0.15,0.85,0.0,0.0,0.0
27,,,,,,,,,,,,,,,Black Sabbath,Paranoid - 2012 - Remaster,Paranoid (Remaster),1970-09-18,4.52e-05,0.412,-0.6554938311807852,0.658,1Y373MqadDRtclJNdnUXVc,0.000774,4,0.176,0.4341860822156932,0,0.0708,1.6843326549279318,https://api.spotify.com/v1/tracks/1Y373MqadDRtclJNdnUXVc,audio_features,spotify:track:1Y373MqadDRtclJNdnUXVc,0.454,0,2,0.19,0.0,0.8099999999999999,0.0,0.0
29,,,,,,,,,,,,,,,Led Zeppelin,Over the Hills and Far Away - Remaster,Houses of the Holy (Remaster),1973-03-28,0.0679,0.402,-0.257605159773852,0.691,2eDdFHgqNJltzlvlZFVDWd,0.133,7,0.0955,0.7373011482526363,1,0.0691,-0.6633754159873616,https://api.spotify.com/v1/tracks/2eDdFHgqNJltzlvlZFVDWd,audio_features,spotify:track:2eDdFHgqNJltzlvlZFVDWd,0.206,0,3,0.3,0.0,0.05,0.65,0.0
35,,,,,,,,,,,,,,,Guns N' Roses,Estranged,Use Your Illusion II,1991-09-18,0.0105,0.359,0.6287823913048,0.762,3s03nrUInN3NAVjQtmnS0O,0.281,11,0.368,1.0700965865408045,1,0.032,-0.9364539050212469,https://api.spotify.com/v1/tracks/3s03nrUInN3NAVjQtmnS0O,audio_features,spotify:track:3s03nrUInN3NAVjQtmnS0O,0.167,0,3,0.45,0.0,0.05,0.5,0.0
42,,,,,,,,,,,,,,,Van Halen,Eruption - 2015 Remaster,Van Halen (Remastered),1978-02-10,0.469,0.225,-0.8708761439561201,0.689,2tAeN2TKlQLOoSPXtARzBV,0.813,8,0.337,0.9341468354820296,1,0.0555,-0.7752910833173325,https://api.spotify.com/v1/tracks/2tAeN2TKlQLOoSPXtARzBV,audio_features,spotify:track:2tAeN2TKlQLOoSPXtARzBV,0.5,0,3,0.15,0.0,0.0,0.85,0.0
44,,,,,,,,,,,,,,,Led Zeppelin,Dazed and Confused - 1990 Remaster,Led Zeppelin,1969-01-12,0.044,0.271,0.05231662880023956,0.553,6hu1f1cXSw7OAqhpSQ2zDy,0.0096,2,0.0999,0.8648926335625029,1,0.0472,-1.025112985390199,https://api.spotify.com/v1/tracks/6hu1f1cXSw7OAqhpSQ2zDy,audio_features,spotify:track:6hu1f1cXSw7OAqhpSQ2zDy,0.433,1,3,0.35,0.0,0.0,0.65,0.0
58,,,,,,,,,,,,,,,Heart,Barracuda,Little Queen,1977-05-14,0.015,0.548,-0.35178093477607575,0.691,4KfSdst7rW39C0sfhArdrz,0.106,4,0.144,0.17797965048384837,0,0.0369,0.7637978861472136,https://api.spotify.com/v1/tracks/4KfSdst7rW39C0sfhArdrz,audio_features,spotify:track:4KfSdst7rW39C0sfhArdrz,0.667,0,2,0.4,0.0,0.6,0.0,0.0
70,,,,,,,,,,,,,,,Dire Straits,Where Do You Think You're Going?,Communiqué,1979-06-15,0.449,0.455,-0.45664691533353274,0.493,2kKNeapwCHUUvMhmAOGce6,0.0158,9,0.116,0.3169997848789574,0,0.0414,1.4036203243724907,https://api.spotify.com/v1/tracks/2kKNeapwCHUUvMhmAOGce6,audio_features,spotify:track:2kKNeapwCHUUvMhmAOGce6,0.484,0,2,0.15,0.0,0.85,0.0,0.0
