,track_name,album_name,release_date,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),1969-09-26,0.0339,0.557,185733,0.54,6dGnYIeXmHdcikdzNNDMm2,0.00248,9,0.179,-10.484,1,0.0347,129.171,4,https://api.spotify.com/v1/tracks/6dGnYIeXmHdcikdzNNDMm2,audio_features,spotify:track:6dGnYIeXmHdcikdzNNDMm2,0.394
1,Come Together - Remastered 2009,Abbey Road (Remastered),1969-09-26,0.0302,0.533,259947,0.376,2EqlS6tkEnglzr7tkKAAYD,0.248,9,0.0926,-11.913,0,0.0393,165.007,4,https://api.spotify.com/v1/tracks/2EqlS6tkEnglzr7tkKAAYD,audio_features,spotify:track:2EqlS6tkEnglzr7tkKAAYD,0.187
2,Yesterday - Remastered 2009,Help! (Remastered),1965-08-06,0.879,0.332,125667,0.179,3BQHpFgAp4l80e1XslIjNI,0.0,5,0.0886,-11.83,1,0.0326,96.529,4,https://api.spotify.com/v1/tracks/3BQHpFgAp4l80e1XslIjNI,audio_features,spotify:track:3BQHpFgAp4l80e1XslIjNI,0.315
3,Let It Be - Remastered 2009,Let It Be (Remastered),1970-05-08,0.631,0.443,243027,0.403,7iN1s7xHE4ifF5povM6A48,0.0,0,0.111,-8.339,1,0.0322,143.462,4,https://api.spotify.com/v1/tracks/7iN1s7xHE4ifF5povM6A48,audio_features,spotify:track:7iN1s7xHE4ifF5povM6A48,0.41
4,Now And Then,The Beatles 1967 – 1970 (2023 Edition),2023-11-10,0.217,0.438,248640,0.547,7eT64Q8X2RsgMm4lqtWK4n,6.5e-05,4,0.314,-7.895,0,0.027,87.188,4,https://api.spotify.com/v1/tracks/7eT64Q8X2RsgMm4lqtWK4n,audio_features,spotify:track:7eT64Q8X2RsgMm4lqtWK4n,0.4
5,Twist And Shout - Remastered 2009,Please Please Me (Remastered),1963-03-22,0.641,0.482,155227,0.849,5ZBeML7Lf3FMEVviTyvi8l,7.74e-06,2,0.0414,-9.198,1,0.0452,124.631,4,https://api.spotify.com/v1/tracks/5ZBeML7Lf3FMEVviTyvi8l,audio_features,spotify:track:5ZBeML7Lf3FMEVviTyvi8l,0.937
6,In My Life - Remastered 2009,Rubber Soul (Remastered),1965-12-03,0.449,0.688,146333,0.435,3KfbEIOC7YIv90FIfNSZpo,0.0,9,0.113,-11.359,1,0.0323,103.239,4,https://api.spotify.com/v1/tracks/3KfbEIOC7YIv90FIfNSZpo,audio_features,spotify:track:3KfbEIOC7YIv90FIfNSZpo,0.435
7,Blackbird - Remastered 2009,The Beatles (Remastered),1968-11-22,0.754,0.686,138387,0.127,5jgFfDIR6FR0gvlA56Nakr,1.41e-05,7,0.0573,-14.361,1,0.0342,93.699,4,https://api.spotify.com/v1/tracks/5jgFfDIR6FR0gvlA56Nakr,audio_features,spotify:track:5jgFfDIR6FR0gvlA56Nakr,0.372
8,Hey Jude - 2015 Mix,The Beatles 1967 – 1970 (2023 Edition),2023-11-10,0.0173,0.38,431453,0.554,1RP85mAmvJ8baqjP53kFJu,0.0,10,0.0996,-9.093,1,0.0253,147.363,4,https://api.spotify.com/v1/tracks/1RP85mAmvJ8baqjP53kFJu,audio_features,spotify:track:1RP85mAmvJ8baqjP53kFJu,0.574
9,Something - Remastered 2009,Abbey Road (Remastered),1969-09-26,0.198,0.396,182293,0.338,0pNeVovbiZHkulpGeOx1Gj,2.62e-06,0,0.138,-10.872,1,0.0304,133.522,4,https://api.spotify.com/v1/tracks/0pNeVovbiZHkulpGeOx1Gj,audio_features,spotify:track:0pNeVovbiZHkulpGeOx1Gj,0.377
0,Stairway to Heaven - Remaster,Led Zeppelin IV (Deluxe Edition),1971-11-08,0.58,0.338,482830,0.34,5CQ30WqJwcep0pYcV4AMNc,0.0032,9,0.116,-12.049,0,0.0339,82.433,4,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc,audio_features,spotify:track:5CQ30WqJwcep0pYcV4AMNc,0.197
1,Immigrant Song - Remaster,Led Zeppelin III (Remaster),1970,0.013,0.564,146250,0.932,78lgmZwycJ3nzsdgmPPGNx,0.169,11,0.349,-10.068,1,0.0554,112.937,4,https://api.spotify.com/v1/tracks/78lgmZwycJ3nzsdgmPPGNx,audio_features,spotify:track:78lgmZwycJ3nzsdgmPPGNx,0.619
2,Whole Lotta Love - 1990 Remaster,Led Zeppelin II (1994 Remaster),1969-10-22,0.0484,0.412,333893,0.902,0hCB0YR03f6AmQaHbwWDe8,0.131,9,0.405,-11.6,1,0.405,89.74,4,https://api.spotify.com/v1/tracks/0hCB0YR03f6AmQaHbwWDe8,audio_features,spotify:track:0hCB0YR03f6AmQaHbwWDe8,0.422
